STATE_ID,COUNTRY_ID,STATE_NAME
AL,US,Alabama
AK,US,Alaska
AZ,US,Arizona
AR,US,Arkansas
CA,US,California
CO,US,Colorado
CT,US,Connecticut
DE,US,Delaware
DC,US,Dist. of Columbia
FL,US,Florida
GA,US,Georgia
GU,US,Guam
HI,US,Hawaii
ID,US,Idaho
IL,US,Illinois
IN,US,Indiana
IA,US,Iowa
KS,US,Kansas
KY,US,Kentucky
LA,US,Louisiana
ME,US,Maine
MD,US,Maryland
MA,US,Massachusetts
MI,US,Michigan
MN,US,Minnesota
MS,US,Mississippi
MO,US,Missouri
MT,US,Montana
NE,US,Nebraska
NV,US,Nevada
NH,US,New Hampshire
NJ,US,New Jersey
NM,US,New Mexico
NY,US,New York
NC,US,North Carolina
ND,US,North Dakota
OH,US,Ohio
OK,US,Oklahoma
OR,US,Oregon
PA,US,Pennsylvania
PR,US,Puerto Rico
RI,US,Rhode Island
SC,US,South Carolina
SD,US,South Dakota
TN,US,Tennessee
TX,US,Texas
UT,US,Utah
VT,US,Vermont
VI,US,Virgin Islands
VA,US,Virginia
WA,US,Washington
WV,US,West Virginia
WI,US,Wisconsin
WY,US,Wyoming
AB,CA,Alberta
BC,CA,British Columbia
MB,CA,Manitoba
NB,CA,New Brunswick
NL,CA,Newfoundland and Labrador
NT,CA,Northwest Territories
NS,CA,Nova Scotia
NU,CA,Nunavut
ON,CA,Ontario
PE,CA,Prince Edward Island
QC,CA,Quebec
SK,CA,Saskatchewan
YT,CA,Yukon
